location,date,population,new_cases,new_deaths,rolling_total_cases,rolling_total_deaths,rolling_total_percentage
Africa,22-10-22,1446883817,0,0,975,14,1.44
Africa,23-10-22,1446883817,0,0,975,14,1.44
Africa,24-10-22,1446883817,0,0,975,14,1.44
Africa,25-10-22,1446883817,0,0,975,14,1.44
Africa,26-10-22,1446883817,0,0,975,14,1.44
Africa,27-10-22,1446883817,0,0,975,14,1.44
Africa,28-10-22,1446883817,28,0,1003,14,1.4
Africa,29-10-22,1446883817,0,0,1003,14,1.4
Africa,30-10-22,1446883817,0,0,1003,14,1.4
Africa,31-10-22,1446883817,0,0,1003,14,1.4
Africa,01-11-22,1446883817,0,0,1003,14,1.4
Africa,02-11-22,1446883817,0,0,1003,14,1.4
Africa,03-11-22,1446883817,0,0,1003,14,1.4
Africa,04-11-22,1446883817,21,0,1024,14,1.37
Africa,05-11-22,1446883817,0,0,1024,14,1.37
Africa,06-11-22,1446883817,0,0,1024,14,1.37
Africa,07-11-22,1446883817,0,0,1024,14,1.37
Africa,08-11-22,1446883817,0,0,1024,14,1.37
Africa,09-11-22,1446883817,0,0,1024,14,1.37
Africa,10-11-22,1446883817,0,0,1024,14,1.37
Africa,11-11-22,1446883817,22,0,1046,14,1.34
Africa,12-11-22,1446883817,0,0,1046,14,1.34
Africa,13-11-22,1446883817,0,0,1046,14,1.34
Africa,14-11-22,1446883817,0,0,1046,14,1.34
Africa,15-11-22,1446883817,0,0,1046,14,1.34
Africa,16-11-22,1446883817,0,0,1046,14,1.34
Africa,17-11-22,1446883817,0,0,1046,14,1.34
Africa,18-11-22,1446883817,25,0,1071,14,1.31
Africa,19-11-22,1446883817,0,0,1071,14,1.31
Africa,20-11-22,1446883817,0,0,1071,14,1.31
Africa,21-11-22,1446883817,0,0,1071,14,1.31
Africa,22-11-22,1446883817,0,0,1071,14,1.31
Africa,23-11-22,1446883817,0,0,1071,14,1.31
Africa,24-11-22,1446883817,0,0,1071,14,1.31
Africa,25-11-22,1446883817,35,0,1106,14,1.27
Africa,26-11-22,1446883817,0,0,1106,14,1.27
Africa,27-11-22,1446883817,0,0,1106,14,1.27
Africa,28-11-22,1446883817,0,0,1106,14,1.27
Africa,29-11-22,1446883817,0,0,1106,14,1.27
Africa,30-11-22,1446883817,0,0,1106,14,1.27
Africa,01-12-22,1446883817,0,0,1106,14,1.27
Africa,02-12-22,1446883817,43,0,1149,14,1.22
Africa,03-12-22,1446883817,0,0,1149,14,1.22
Africa,04-12-22,1446883817,0,0,1149,14,1.22
Africa,05-12-22,1446883817,0,0,1149,14,1.22
Africa,06-12-22,1446883817,0,0,1149,14,1.22
Africa,07-12-22,1446883817,0,0,1149,14,1.22
Africa,08-12-22,1446883817,0,0,1149,14,1.22
Africa,09-12-22,1446883817,34,0,1183,14,1.18
Africa,10-12-22,1446883817,0,0,1183,14,1.18
Africa,11-12-22,1446883817,0,0,1183,14,1.18
Africa,12-12-22,1446883817,1,0,1184,14,1.18
Africa,13-12-22,1446883817,0,0,1184,14,1.18
Africa,14-12-22,1446883817,0,0,1184,14,1.18
Africa,15-12-22,1446883817,0,0,1184,14,1.18
Africa,16-12-22,1446883817,12,0,1196,14,1.17
Africa,17-12-22,1446883817,0,0,1196,14,1.17
Africa,18-12-22,1446883817,0,0,1196,14,1.17
Africa,19-12-22,1446883817,0,0,1196,14,1.17
Africa,20-12-22,1446883817,0,0,1196,14,1.17
Africa,21-12-22,1446883817,0,0,1196,14,1.17
Africa,22-12-22,1446883817,0,0,1196,14,1.17
Africa,23-12-22,1446883817,10,0,1206,14,1.16
